Metric,Value
route__drc_errors,0
route__wirelength,83049
route__vias,15589
route__vias__singlecut,15589
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,9
design__critical_disconnected_pin__count,0
route__wirelength__max,424.96
design__instance__count__class:fill_cell,646
design__instance__area__class:fill_cell,3418.33
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,11
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,11
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,11
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,11
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.1997
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19997
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.000301915
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000777049
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.0000317266
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000777049
design_powergrid__voltage__worst,0.000777049
design_powergrid__voltage__worst__net:VPWR,1.1997
design_powergrid__drop__worst,0.000777049
design_powergrid__drop__worst__net:VPWR,0.000301915
design_powergrid__voltage__worst__net:VGND,0.000777049
design_powergrid__drop__worst__net:VGND,0.000777049
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.00002629999999999999891575445942759614581518690101802349090576171875
ir__drop__worst,0.0003020000000000000223328300297254145334591157734394073486328125
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
